nombre;direccion;barrio;latitud;longitud;coordinador_nombre;coordinador_apellido;votacion;ubicación;imagen_local
I.E. FATIMA NUTIBARA;Cra. 65A #32 B - 120, Medellín,Belén;Fátima;6,23695;-75,58323;Laura Patricia;Granada Rodríguez;46;https://www.google.com/maps/@6.2367001,-75.5833493,3a,75y,89.36h,90t/data=!3m7!1e1!3m5!1sCRKJXvIgubmTK1w9EUmzRA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D0%26panoid%3DCRKJXvIgubmTK1w9EUmzRA%26yaw%3D89.36246!7i16384!8i8192?authuser=0&entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D;datos/imagenes_puestos/puesto_01.jpg
SEC. ESC. SOFIA OSPINA DE NAVARRO;CR 65A NO 32B-120 Belen Fatima;Fátima;6,23545;-75,58301;Laura Patricia;Granada Rodríguez;20;https://maps.app.goo.gl/Qmz78sgSmL43aVpUA;
I.E. JUAN MARIA CESPEDES;Cl. 32B #76A-48, Medellín,Belén;Belén;6,23695;-75,59669;Rocío del Socorro;Bello;77;https://www.google.com/maps/@6.2350223,-75.59711,3a,75y,40.5h,95.41t/data=!3m7!1e1!3m5!1sz2DOLFhCUIF3EnB1VCB72g!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-5.405002410830008%26panoid%3Dz2DOLFhCUIF3EnB1VCB72g%26yaw%3D40.49584385764277!7i16384!8i8192?authuser=0&entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D;datos/imagenes_puestos/puesto_03.jpg
I.E. GUILLERMO VALENCIA;Cl. 23 #7848, Medellín,Belén;San Bernardo;6,227;-75,59893;Jorge Enrique;Arango;74;https://www.google.com/maps/@6.2267587,-75.5984032,3a,75y,330.86h,93.46t/data=!3m7!1e1!3m5!1sdNOxZZ5gm1JgUTot5Qp4ow!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-3.46339331254039%26panoid%3DdNOxZZ5gm1JgUTot5Qp4ow%26yaw%3D330.8605606803954!7i16384!8i8192?authuser=0&entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D;datos/imagenes_puestos/puesto_04.jpg
UNID.DEPORTIVA ANDRES ESCOBAR;Carrera 66B # 31A - 15;Cerro Nutibara;6,23579;-75,58848;;;14;https://www.google.com/maps/@6.2361784,-75.5879959,3a,75y,213.16h,90t/data=!3m7!1e1!3m5!1szmbgQSeGloDKjLpiWLJJ0A!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D0%26panoid%3DzmbgQSeGloDKjLpiWLJJ0A%26yaw%3D213.1557351934605!7i16384!8i8192?authuser=0&entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D;datos/imagenes_puestos/puesto_05.jpg
LICEO SAN RAFAEL;Cl. 30A #79-12, Medellín,Belén;Belén;6,23244;-75,59943;;;43;https://www.google.com/maps/@6.2320714,-75.5994921,3a,75y,51.56h,97.01t/data=!3m7!1e1!3m5!1sfpgi44w20u-lu-PHNbmrRQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-7.006826687702585%26panoid%3Dfpgi44w20u-lu-PHNbmrRQ%26yaw%3D51.5598790232315!7i16384!8i8192?authuser=0&entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D;datos/imagenes_puestos/puesto_06.jpg
COLEGIO SAN JUAN BOSCO;Cl. 28 #73-01, Medellín,Belén;Rosales;6,23021;-75,59403;;;7;https://www.google.com/maps/@6.2296586,-75.5936721,3a,75y,166.62h,92.32t/data=!3m7!1e1!3m5!1sKa6ZwKvXa5JCpy2NVijkng!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-2.322170527084495%26panoid%3DKa6ZwKvXa5JCpy2NVijkng%26yaw%3D166.6230227661732!7i16384!8i8192?authuser=0&entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D;datos/imagenes_puestos/puesto_07.jpg
IE YERMO Y PARRES;Cl. 28 #77-84, Medellín,Belén;Granada;6,22945;-75,59775;;;0;https://www.google.com/maps/@6.2290953,-75.5976845,3a,90y,11.04h,95.41t/data=!3m7!1e1!3m5!1stc0oNJDycVqr6ukRB185vg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-5.406896806579212%26panoid%3Dtc0oNJDycVqr6ukRB185vg%26yaw%3D11.038411631312044!7i16384!8i8192?authuser=0&entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D;datos/imagenes_puestos/puesto_08.jpg
SECCION ESCUELA CARLOS FRANCO;Cra 77 #25-67, Medellín,Belén;Granada;6,22826;-75,59756;;;0;https://www.google.com/maps/@6.227926,-75.5973428,3a,60y,328.67h,93.26t/data=!3m7!1e1!3m5!1s1Oer7XCpj3HDb8nelhBcXA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-3.2552991485854506%26panoid%3D1Oer7XCpj3HDb8nelhBcXA%26yaw%3D328.67140703414486!7i16384!8i8192?authuser=0&entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D;datos/imagenes_puestos/puesto_09.jpg
INSTITUCION EDUCATIVA ROSALIA SUAREZ;Cra 77 #30A-53, Medellín,Belén;Granada;6,23288;-75,59719;;;0;https://www.google.com/maps/@6.2327567,-75.5970349,3a,75y,254.29h,93.2t/data=!3m7!1e1!3m5!1s4AryhMfcWlOHETjac2mjRA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-3.1963490660698284%26panoid%3D4AryhMfcWlOHETjac2mjRA%26yaw%3D254.2899928052077!7i16384!8i8192?authuser=0&entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D;datos/imagenes_puestos/puesto_10.jpg
